time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-14T01:34:52.260Z,33.48,-116.762,6.3,1.21,ml,35,44,0.08022,0.2,ci,ci15511793,2014-06-14T01:45:42.040Z,"10km ENE of Aguanga, California",earthquake
2014-06-14T01:17:22.400Z,35.7403,-120.2848,6.7,1.8,Md,21,90,0.02694946,0.04,nc,nc72237461,2014-06-14T01:49:08.248Z,"12km NE of Shandon, California",earthquake
2014-06-14T00:46:46.000Z,65.0399,-148.8655,19.3,1,ml,,,,0.57,ak,ak11290896,2014-06-14T01:02:40.594Z,"45km WNW of Ester, Alaska",earthquake
2014-06-14T00:33:20.000Z,64.9907,-148.8652,18.3,1.1,ml,,,,0.42,ak,ak11290893,2014-06-14T00:40:02.635Z,"Central Alaska",earthquake
2014-06-14T00:13:31.900Z,-15.2462,-72.7763,108.19,4.6,mb,,119,4.087,0.83,us,usc000rfec,2014-06-14T00:51:14.156Z,"46km W of Orcopampa, Peru",earthquake
2014-06-13T23:53:52.300Z,39.384,-122.8968,8.5,2.1,Md,26,39.6,0.11678099,0.14,nc,nc72237406,2014-06-14T00:17:05.071Z,"24km N of Upper Lake, California",earthquake
2014-06-13T23:48:59.000Z,32.9611667,-115.5773333,13.42,1.91,ml,11,101,0.1547,0.28,ci,ci15511785,2014-06-13T23:53:03.050Z,"4km WSW of Brawley, California",earthquake
2014-06-13T23:47:44.000Z,62.1923,-149.6133,26.9,1.1,ml,,,,0.71,ak,ak11290887,2014-06-13T23:59:57.153Z,"12km ENE of Y, Alaska",earthquake
2014-06-13T23:35:55.000Z,51.3721,-174.1211,9.5,2.9,ml,,,,0.56,ak,ak11290884,2014-06-14T00:47:32.890Z,"91km S of Atka, Alaska",earthquake
2014-06-13T23:08:22.650Z,34.2666667,-118.4931667,11.11,1.49,ml,15,154,0.01912,0.26,ci,ci15511777,2014-06-13T23:12:36.310Z,"5km WSW of San Fernando, California",earthquake
2014-06-13T23:02:00.670Z,34.2836667,-118.4886667,10.9,1.81,ml,31,59,0.007981,0.32,ci,ci15511769,2014-06-13T23:13:16.560Z,"Greater Los Angeles area, California",earthquake
2014-06-13T22:59:42.170Z,-6.2861,147.8279,67.96,5.1,mb,,19,3.168,0.84,us,usc000rfdw,2014-06-14T00:11:10.324Z,"35km N of Finschhafen, Papua New Guinea",earthquake
2014-06-13T22:57:32.000Z,65.0276,-147.3115,13.8,1.2,ml,,,,0.4,ak,ak11290881,2014-06-13T23:10:33.233Z,"27km NNE of Badger, Alaska",earthquake
2014-06-13T22:47:12.000Z,60.1596,-152.3426,87.6,1.9,ml,12,183.599985312001,,0.76,ak,ak11290785,2014-06-13T23:04:07.138Z,"Southern Alaska",earthquake
2014-06-13T22:35:15.449Z,37.5279,-117.2036,9.4736,1.2,ml,12,96.05,0.543,0.1229,nn,nn00449009,2014-06-13T22:59:46.013Z,"20km S of Goldfield, Nevada",earthquake
2014-06-13T22:23:02.990Z,35.4171667,-117.7628333,9.47,1.15,ml,10,112,0.09064,0.2,ci,ci15511761,2014-06-14T00:28:27.279Z,"24km SSW of Ridgecrest, California",earthquake
2014-06-13T22:21:56.470Z,33.5043333,-116.4668333,9.66,0.72,ml,16,138,0.03928,0.11,ci,ci15511753,2014-06-14T00:26:00.663Z,"20km ESE of Anza, California",earthquake
2014-06-13T22:09:36.040Z,-22.6445,-67.9199,110.06,4.8,mb,,48,0.916,1.22,us,usc000rfd7,2014-06-14T00:35:01.089Z,"Antofagasta, Chile",earthquake
2014-06-13T22:05:50.000Z,51.5905,-177.9946,4.8,1.9,ml,,,,0.57,ak,ak11290781,2014-06-14T00:33:04.681Z,"34km SSE of Tanaga Volcano, Alaska",earthquake
2014-06-13T21:29:06.700Z,40.7493,-122.3122,3.2,2,Md,12,100.8,0.18864621,0.04,nc,nc72237356,2014-06-14T00:44:05.671Z,"9km NNE of Shasta Lake, California",earthquake
2014-06-13T21:19:25.650Z,33.5061667,-116.4681667,10.4,0.62,ml,14,136,0.03942,0.11,ci,ci15511745,2014-06-13T22:02:47.910Z,"19km ESE of Anza, California",earthquake
2014-06-13T21:14:26.500Z,38.8103,-122.823,2.8,0.6,Md,11,79.2,0.00898315,0.04,nc,nc72237336,2014-06-13T22:24:04.304Z,"6km WNW of The Geysers, California",earthquake
2014-06-13T21:08:46.000Z,62.2845,-151.3946,87.4,1.4,ml,,,,0.41,ak,ak11290778,2014-06-13T21:15:05.774Z,"66km W of Talkeetna, Alaska",earthquake
2014-06-13T21:03:20.400Z,33.5075,-116.4701667,10.01,0.74,ml,19,136,0.04039,0.08,ci,ci15511737,2014-06-13T21:18:38.690Z,"19km ESE of Anza, California",earthquake
2014-06-13T21:01:33.410Z,34.3263333,-116.937,0.01,1.65,ml,22,70,0.06528,0.13,ci,ci15511729,2014-06-13T21:11:30.210Z,"9km NNW of Big Bear Lake, California",quarry_blast
2014-06-13T20:55:40.000Z,63.5735,-147.7493,0,1.2,ml,,,,0.61,ak,ak11290772,2014-06-13T21:05:02.077Z,"63km ENE of Cantwell, Alaska",earthquake
2014-06-13T20:54:53.830Z,38.8183327,-122.810997,2.17,0.51,md,12,71,0.005106,0.02,nc,nc72237321,2014-06-13T20:56:31.150Z,"6km NW of The Geysers, California",earthquake
2014-06-13T20:50:16.460Z,33.8635,-117.5,0.01,1.46,ml,29,71,0.05225,0.17,ci,ci15511721,2014-06-13T21:07:25.620Z,"2km SE of Home Gardens, California",quarry_blast
2014-06-13T20:45:13.610Z,38.8190002,-122.8063354,3.63,0.86,md,18,64,0.005271,0.04,nc,nc72237306,2014-06-13T21:00:08.817Z,"6km NW of The Geysers, California",earthquake
2014-06-13T20:41:32.000Z,63.5028,-151.1485,5.8,1.3,ml,,,,0.79,ak,ak11290770,2014-06-13T20:51:24.228Z,"110km W of Cantwell, Alaska",earthquake
2014-06-13T20:31:45.080Z,34.3041667,-117.4968333,12.75,2.52,ml,65,25,0.04239,0.17,ci,ci15511713,2014-06-14T00:33:32.310Z,"13km SW of Oak Hills, California",earthquake
2014-06-13T20:25:14.900Z,18.0016,-65.6078,14,2.4,Md,4,270,0.10869615,0.05,pr,pr14164017,2014-06-13T21:53:08.431Z,"17km SW of Esperanza, Puerto Rico",earthquake
2014-06-13T20:08:30.000Z,61.4671,-146.576,20,2.6,ml,,,,0.76,ak,ak11290654,2014-06-13T21:41:25.000Z,"39km NNW of Valdez, Alaska",earthquake
2014-06-13T20:07:46.165Z,39.3443,-120.0052,7.107,1.2,ml,24,66.73,0.057,0.1343,nn,nn00448981,2014-06-13T22:35:56.120Z,"10km NNW of Incline Village, Nevada",earthquake
2014-06-13T20:01:58.500Z,45.3868,-118.4595,0,2.3,Md,,338.4,1.24865824,2.1,uw,uw60808676,2014-06-13T22:43:45.755Z,"29km WNW of La Grande, Oregon",quarry
2014-06-13T19:56:07.110Z,33.5031667,-116.469,10.34,0.58,ml,13,99,0.04142,0.1,ci,ci15511705,2014-06-13T20:14:14.880Z,"Southern California",earthquake
2014-06-13T19:52:56.600Z,38.836,-122.7825,2.3,1.6,Md,31,64.8,0.00898315,0.03,nc,nc72237281,2014-06-13T23:09:09.516Z,"5km WNW of Cobb, California",earthquake
2014-06-13T19:50:40.290Z,33.6798333,-116.723,18.2,0.79,ml,18,95,0.03211,0.07,ci,ci15511697,2014-06-13T20:11:09.030Z,"6km S of Idyllwild, California",earthquake
2014-06-13T19:49:53.000Z,62.2997,-151.182,100,2.7,ml,,,,1.76,ak,ak11290591,2014-06-13T20:00:29.994Z,"Central Alaska",earthquake
2014-06-13T19:48:43.100Z,19.3993,-155.2225,0.8,1.8,Ml,,302.4,0.03593261,0.14,hv,hv60713061,2014-06-13T19:54:24.105Z,"Hawaii region, Hawaii",earthquake
